slug,role,team_name_short,presenze_pred,presenze_pred.1,starts_pred,titolare_pred,fmv_pred,mv_pred,gf_pred,assist_pred,clean_sheet_pred,price
botond-balogh,D,Parma,14.0,14.0,11.0,0,5.792450652792787,5.785568540028799,0.0114828604684322,0.0871421903918909,0.0,2.29
jonas-rouhi,D,Juventus,3.0,3.0,1.0,0,6.0,6.0,0.132485796087218,0.0215240641471513,0.0,1.48
ignace-van-der-brempt,D,Como,5.0,5.0,3.0,0,5.970337324121212,5.918083819486474,0.1137268489932883,0.2021129559780997,0.0,2.56
lautaro-valenti,D,Parma,14.0,14.0,13.0,0,5.782750958866135,5.754512395285233,0.3516329120763892,0.2249640722945013,0.0,2.8299999999999996
filippo-terracciano,D,Cremonese,12.0,12.0,5.0,0,5.783681338382784,5.710608131391247,0.0315902226221249,0.8223620000714886,0.0,1.21
nicolas-valentini,D,Hellas Verona,6.0,6.0,4.0,0,5.779783031625706,5.759932359146555,0.1160673187616754,0.0657351193633147,0.0,2.8299999999999996
tobias-slotsager,D,Hellas Verona,1.0,1.0,1.0,0,6.0,6.0,0.0095467994335218,0.025725765593513,0.0,1.75
sebastian-otoa,D,Genoa,3.0,3.0,2.0,0,6.0,6.0,0.0644305054993327,0.0273732186632734,0.0,1.21
marc-oliver-kempf,D,Como,19.0,19.0,19.0,1,5.734446194415321,5.708407280959188,0.3318021678759176,0.1395969359550279,0.0,4.45
filippo-romagna,D,Sassuolo,10.0,10.0,7.0,0,5.38845049779354,5.383548488397087,0.0141042932340704,0.0228953342379031,0.0,2.8299999999999996
rui-modesto,D,Udinese,11.0,11.0,4.0,0,5.950743911294566,5.904962358767839,0.2265327071317988,0.3844150019044724,0.0,2.02
luca-marianucci,D,Napoli,5.0,5.0,4.0,0,5.863999545264811,5.852986055567415,0.0996188555232412,0.0116440294521158,0.0,2.8299999999999996
adam-obert,D,Cagliari,19.0,19.0,13.0,0,5.874818729692687,5.826979366730107,0.0603844322527907,0.841129665978089,0.0,3.0999999999999996
alessandro-marcandalli,D,Genoa,9.0,9.0,7.0,0,5.801602757629519,5.781763408766801,0.3037675725261918,0.040386060148997,0.0,0.9400000000000001
matteo-palma,D,Udinese,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,1.21
fellipe-jack,D,Como,3.0,3.0,2.0,0,6.0,6.0,0.0176695606195927,0.0225651857327826,0.0,1.48
martin-frese,D,Hellas Verona,11.0,11.0,6.0,0,5.925791561197119,5.826084138643368,0.687975747928151,0.7274820066891874,0.0,2.8299999999999996
yeferson-paz,D,Sassuolo,9.0,9.0,5.0,0,5.953636463045437,5.943499985381491,0.0191784490501961,0.0454469243146149,0.0,1.75
romano-floriani-mussolini,D,Cremonese,11.0,11.0,8.0,0,5.819375106978572,5.779052408089271,0.2242881808467328,0.1615319484862962,0.0,3.37
alessandro-di-pardo,D,Cagliari,14.0,14.0,9.0,0,5.769427009702526,5.71402765981837,0.1143137805617676,0.691698056328284,0.0,1.48
ali-dembele,D,Torino,8.0,8.0,2.0,0,6.128535982392661,5.923510904176101,2.2164373036920337,0.1981748332943984,0.0,1.0
francesco-rossi,P,Atalanta,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.685
boris-radunovic,P,Cagliari,2.0,2.0,2.0,1,4.856232359971975,6.099777808242137,0.0,0.0,0.7000000000000006,0.685
raffaele-di-gennaro,P,Inter,1.0,1.0,1.0,0,6.058436492701471,6.0618261130408015,0.0001826274931957,0.0002802499233419,0.0,0.685
federico-ravaglia,P,Bologna,3.0,3.0,3.0,0,6.0,6.0,1.204699677459627e-05,0.0004732567891937,1.0019146398148362,2.9649999999999994
mauro-vigorito,P,Como,7.0,7.0,7.0,0,5.261364246320654,6.163301072155449,0.0001436029850258,0.0008885368283464,1.820241823617384,0.685
christian-fruchtl,P,Lecce,4.0,4.0,3.0,0,4.938564635621819,6.211882540463347,6.023498411467232e-05,0.000273453627694,0.2160890873191693,0.685
giacomo-satalino,P,Sassuolo,2.0,2.0,2.0,0,5.88,5.88,4.818798702720748e-06,6.773144481587999e-05,0.5482873707335394,0.685
marco-sportiello,P,Atalanta,1.0,1.0,1.0,0,5.008785484180644,6.1247455845450265,4.06697164726891e-05,0.0003353325334266,0.1414344318287777,0.685
daniele-sommariva,P,Genoa,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.685
alberto-paleari,P,Torino,1.0,1.0,1.0,1,5.178358117673862,6.352883591382945,0.0001084229710859,0.0004851657155503,0.5040894086516763,0.685
tommaso-martinelli,P,Fiorentina,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.685
simone-perilli,P,Hellas Verona,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.685
giuseppe-ciocci,P,Cagliari,0.0,0.0,0.0,0,6.0,6.0,0.0,0.0,0.0,0.685
daniele-padelli,P,Udinese,1.0,1.0,1.0,0,4.978394773226847,6.232944891677152,7.228198056919722e-05,0.0005144447103161,0.2057855122674825,0.685
pietro-terracciano,P,Milan,1.0,1.0,1.0,1,5.177352646594883,6.14986915379034,3.77905308106528e-05,0.0011497627654828,0.2566824064758272,0.685
pierluigi-gollini,P,Roma,1.0,1.0,1.0,0,5.046623538180083,6.067322676259609,6.529274054160425e-05,0.000828693106473,0.252727493452395,0.685
carlo-pinsoglio,P,Juventus,1.0,1.0,0.0,0,5.813185171921834,6.155794946989732,2.409399351969005e-05,0.0012361275274389,0.2244952360772951,0.685
louis-buffon,A,Pisa,4.0,4.0,1.0,0,5.898628856780069,5.7635967091677855,0.416860169312547,0.3323783433563317,0.0,0.685
