name,link_player_page,slug
Jean-Eudes Aholou,https://fbref.com/en/players/48b28bfd/Jean-Eudes-Aholou,jean-eudes-aholou
Joseph Aidoo,https://fbref.com/en/players/18abe173/Joseph-Aidoo,joseph-aidoo
Joseph Aidoo,https://fbref.com/en/players/18abe173/Joseph-Aidoo,joseph-aidoo
Ayman Aiki,https://fbref.com/en/players/8399c416/Ayman-Aiki,ayman-aiki
Ola Aina,https://fbref.com/en/players/246d153b/Ola-Aina,ola-aina
Rayan Aït-Nouri,https://fbref.com/en/players/9b398aea/Rayan-Ait-Nouri,rayan-ait-nouri
Junior Ajayi,https://fbref.com/en/players/cab600a8/Junior-Ajayi,junior-ajayi
Kristoffer Ajer,https://fbref.com/en/players/a8c0acb7/Kristoffer-Ajer,kristoffer-ajer
Ludovic Ajorque,https://fbref.com/en/players/462475ed/Ludovic-Ajorque,ludovic-ajorque
Manuel Akanji,https://fbref.com/en/players/89ac64a6/Manuel-Akanji,manuel-akanji
Ümit Akdag,https://fbref.com/en/players/d746900e/Umit-Akdag,umit-akdag
Nathan Aké,https://fbref.com/en/players/eaeca114/Nathan-Ake,nathan-ake
Ilias Akhomach,https://fbref.com/en/players/b8bd60fe/Ilias-Akhomach,ilias-akhomach
Sergio Akieme,https://fbref.com/en/players/06efa9dc/Sergio-Akieme,sergio-akieme
Maghnes Akliouche,https://fbref.com/en/players/b625b241/Maghnes-Akliouche,maghnes-akliouche
Paul Akouokou,https://fbref.com/en/players/31f5b89b/Paul-Akouokou,paul-akouokou
Clément Akpa,https://fbref.com/en/players/0abb5072/Clement-Akpa,clement-akpa
Jean-Daniel Akpa-Akpro,https://fbref.com/en/players/fdf4b948/Jean-Daniel-Akpa-Akpro,jean-daniel-akpa-akpro
David Akpan Ankeye,https://fbref.com/en/players/8c4b95af/David-Akpan-Ankeye,david-akpan-ankeye
Kevin Akpoguma,https://fbref.com/en/players/6ec6fde0/Kevin-Akpoguma,kevin-akpoguma
Chuba Akpom,https://fbref.com/en/players/e2b384d2/Chuba-Akpom,chuba-akpom
David Alaba,https://fbref.com/en/players/05439de2/David-Alaba,david-alaba
Ibrahim Alani,https://fbref.com/en/players/36fd9c52/Ibrahim-Alani,ibrahim-alani
Andreas Albers,https://fbref.com/en/players/94471fb7/Andreas-Albers,andreas-albers
Raúl Albiol,https://fbref.com/en/players/4bd414c1/Raul-Albiol,raul-albiol
Carlos Alcaraz,https://fbref.com/en/players/4abac767/Carlos-Alcaraz,carlos-alcaraz
Carlos Alcaraz,https://fbref.com/en/players/4abac767/Carlos-Alcaraz,carlos-alcaraz
Omar Alderete,https://fbref.com/en/players/bb08bce9/Omar-Alderete,omar-alderete
Carles Aleñá,https://fbref.com/en/players/6c811eb7/Carles-Alena,carles-alena
Carles Aleñá,https://fbref.com/en/players/6c811eb7/Carles-Alena,carles-alena
Ben Alexander Voll,https://fbref.com/en/players/ee8ad906/Ben-Alexander-Voll,ben-alexander-voll
Trent Alexander-Arnold,https://fbref.com/en/players/cd1acf9d/Trent-Alexander-Arnold,trent-alexander-arnold
Alfon,https://fbref.com/en/players/1c772b46/Alfon,alfon
Mohamed Ali Cho,https://fbref.com/en/players/f8405304/Mohamed-Ali-Cho,mohamed-ali-cho
Faride Alidou,https://fbref.com/en/players/00f518d8/Faride-Alidou,faride-alidou
Alisson,https://fbref.com/en/players/7a2e46a8/Alisson,alisson
Tadeo Allende,https://fbref.com/en/players/75a66bed/Tadeo-Allende,tadeo-allende
Jim Allevinah,https://fbref.com/en/players/1956b948/Jim-Allevinah,jim-allevinah
Dele Alli,https://fbref.com/en/players/cea4ee8f/Dele-Alli,dele-alli
Thiago Almada,https://fbref.com/en/players/27f33438/Thiago-Almada,thiago-almada
Domingos André Ribeiro Almeida,https://fbref.com/en/players/e6697917/Domingos-Andre-Ribeiro-Almeida,domingos-andre-ribeiro-almeida
Iker Almena,https://fbref.com/en/players/0b32f721/Iker-Almena,iker-almena
Miguel Almirón,https://fbref.com/en/players/862a1c15/Miguel-Almiron,miguel-almiron
Pontus Almqvist,https://fbref.com/en/players/0917188a/Pontus-Almqvist,pontus-almqvist
Marcos Alonso,https://fbref.com/en/players/f4290206/Marcos-Alonso,marcos-alonso
Giorgio Altare,https://fbref.com/en/players/aa5322d5/Giorgio-Altare,giorgio-altare
Adrià Altimira,https://fbref.com/en/players/757a3431/Adria-Altimira,adria-altimira
Sergi Altimira,https://fbref.com/en/players/94acdd4e/Sergi-Altimira,sergi-altimira
Olabade Aluko,https://fbref.com/en/players/12bb637a/Olabade-Aluko,olabade-aluko
Edson Álvarez,https://fbref.com/en/players/8b3ab7ad/Edson-Alvarez,edson-alvarez
Hugo Álvarez,https://fbref.com/en/players/6f392eb8/Hugo-Alvarez,hugo-alvarez
Julián Álvarez,https://fbref.com/en/players/15ab5a2b/Julian-Alvarez,julian-alvarez
Yeray Álvarez,https://fbref.com/en/players/3ecc11d8/Yeray-Alvarez,yeray-alvarez
Skelly Alvero,https://fbref.com/en/players/add37c13/Skelly-Alvero,skelly-alvero
Will Alves,https://fbref.com/en/players/39ef5a7b/Will-Alves,will-alves
Selim Amallah,https://fbref.com/en/players/00eba9c9/Selim-Amallah,selim-amallah
Harry Amass,https://fbref.com/en/players/7b47100c/Harry-Amass,harry-amass
Amath,https://fbref.com/en/players/f3b1d9a2/Amath,amath
Jordan Amavi,https://fbref.com/en/players/22721b88/Jordan-Amavi,jordan-amavi
Aurele Amenda,https://fbref.com/en/players/1227a22d/Aurele-Amenda,aurele-amenda
