slug,role,team_name_short,presenze_pred,presenze_pred.1,starts_pred,titolare_pred,fmv_pred,mv_pred,gf_pred,assist_pred,clean_sheet_pred,price,prezzo_medio
hassane-kamara,D,Udinese,21.0,21.0,19.0,1,6.0,5.93,1.29,0.76,0.0,7.97,1.0
matija-frigan,A,Parma,10.0,10.0,2.0,0,6.32,5.99,3.13,0.89,0.0,4.2,0.0
michele-collocolo,C,Cremonese,28.0,28.0,24.0,1,5.94,5.69,3.04,1.22,0.0,6.61,3.0
oumar-solet,D,Udinese,28.0,28.0,26.0,0,6.14,6.08,0.82,0.6,0.0,15.19,17.0
ryad-idrissi,D,Cagliari,18.0,18.0,15.0,0,5.96,5.84,1.65,2.62,0.0,4.69,1.0
lewis-ferguson,C,Bologna,28.0,28.0,26.0,1,6.24,6.22,2.31,1.44,0.0,6.09,5.0
fabiano-parisi,D,Fiorentina,21.0,21.0,15.0,0,5.98,5.88,0.9,1.74,0.0,3.34,1.0
francesco-folino,D,Cremonese,25.0,25.0,19.0,1,5.83,5.71,2.11,0.17,0.0,3.08,0.0
adam-masina,D,Torino,24.0,24.0,20.0,1,5.97,5.91,0.98,0.83,0.0,2.94,0.0
ardian-ismajli,D,Torino,21.0,21.0,19.0,1,5.82,5.8,0.2,0.24,0.0,4.15,2.0
arijanet-muric,P,Sassuolo,21.0,21.0,21.0,1,4.28,6.03,0.0,0.0,4.71,2.72,0.0
valentino-lazaro,D,Torino,23.0,23.0,15.0,0,6.11,5.95,1.06,4.2,0.0,7.98,6.0
anass-salah-eddine,D,Roma,16.0,16.0,9.0,0,5.84,5.7,0.59,0.98,0.0,3.06,0.0
nicolo-bertola,D,Udinese,19.0,19.0,16.0,0,6.04,5.95,1.18,0.34,0.0,3.3,1.0
cas-odenthal,D,Sassuolo,27.0,27.0,25.0,1,5.73,5.69,0.62,0.29,0.0,2.88,0.0
giovanni-fabbian,C,Bologna,19.0,19.0,9.0,0,6.27,6.11,3.4,1.61,0.0,3.39,1.0
marcus-pedersen,D,Torino,24.0,24.0,18.0,0,5.8,5.67,0.03,1.84,0.0,2.98,1.0
guillermo-maripan,D,Torino,23.0,23.0,22.0,1,5.9,5.85,1.52,0.22,0.0,3.52,1.0
keinan-davis,A,Udinese,12.0,12.0,5.0,0,6.31,6.02,3.16,1.1,0.0,10.46,9.0
matteo-bianchetti,D,Cremonese,25.0,25.0,24.0,1,5.53,5.49,0.64,0.34,0.0,2.2,0.0
kristian-thorstvedt,C,Sassuolo,22.0,22.0,21.0,1,6.18,5.89,2.78,1.24,0.0,8.94,7.0
kingsley-ehizibue,D,Udinese,21.0,21.0,18.0,0,5.87,5.82,0.27,0.73,0.0,3.66,1.0
fali-cande,D,Sassuolo,20.0,20.0,18.0,0,5.83,5.78,0.66,0.48,0.0,5.7,1.0
niccolo-fortini,D,Fiorentina,15.0,15.0,11.0,0,6.01,5.88,1.14,1.22,0.0,1.8,0.0
remo-freuler,C,Bologna,30.0,30.0,29.0,1,6.25,6.16,1.81,1.43,0.0,4.19,1.5
emanuele-valeri,D,Parma,30.0,30.0,29.0,1,6.17,6.02,1.83,3.05,0.0,12.74,15.0
abdoulaye-niakhate-ndiaye,D,Parma,26.0,26.0,24.0,1,6.08,5.99,1.29,1.74,0.0,2.95,1.0
manu-kone,C,Roma,29.0,29.0,25.0,1,6.16,6.13,1.68,0.62,0.0,9.8,22.0
matias-vecino,C,Lazio,23.0,23.0,13.0,0,6.12,6.0,2.58,1.01,0.0,2.9,1.0
alessandro-vogliacco,D,Genoa,20.0,20.0,16.0,0,5.92,5.9,0.1,0.29,0.0,2.24,0.0
emil-holm,D,Bologna,16.0,16.0,11.0,0,6.08,5.96,1.9,0.79,0.0,4.39,2.0
thomas-kristensen,D,Udinese,20.0,20.0,19.0,1,5.76,5.72,0.74,0.36,0.0,5.36,1.0
nadir-zortea,D,Bologna,29.0,29.0,22.0,0,6.23,6.01,3.02,2.89,0.0,21.74,19.0
jay-idzes,D,Sassuolo,25.0,25.0,19.0,1,5.87,5.85,0.16,0.24,0.0,3.86,2.0
tommaso-baldanzi,C,Roma,18.0,18.0,8.0,0,6.24,6.06,3.32,0.76,0.0,3.08,1.0
petar-sucic,C,Inter,27.0,27.0,21.0,0,6.24,5.98,2.1,1.58,0.0,6.69,8.0
sergi-roberto,C,Como,25.0,25.0,20.0,1,6.08,5.95,2.21,1.63,0.0,2.29,1.0
neil-el-aynaoui,C,Roma,20.0,20.0,14.0,0,6.18,6.04,2.41,1.07,0.0,11.02,8.0
jordan-zemura,D,Udinese,20.0,20.0,14.0,0,5.99,5.89,1.18,1.3,0.0,2.6,1.0
daniel-boloca,C,Sassuolo,29.0,29.0,28.0,1,6.15,6.1,1.86,1.15,0.0,2.75,1.0
oliver-provstgaard,D,Lazio,18.0,18.0,15.0,0,6.06,6.04,0.12,0.14,0.0,2.17,1.0
leo-skiri-ostigard,D,Genoa,24.0,24.0,20.0,0,5.87,5.83,0.36,0.5,0.0,3.76,1.5
nicolo-casale,D,Bologna,16.0,16.0,13.0,0,5.8,5.74,0.4,0.69,0.0,2.58,1.0
mihai-popa,P,Torino,13.0,13.0,5.0,0,4.89,6.12,0.0,0.01,5.33,1.14,0.0
pietro-comuzzo,D,Fiorentina,26.0,26.0,23.0,0,5.88,5.85,0.94,0.1,0.0,3.78,3.5
youssouf-fofana,C,Milan,23.0,23.0,20.0,1,6.16,6.02,1.14,3.74,0.0,8.98,3.0
suat-serdar,C,Verona,25.0,25.0,17.0,0,5.98,5.87,2.45,1.09,0.0,3.09,1.0
charalampos-lykogiannis,D,Bologna,19.0,19.0,15.0,0,6.05,5.97,1.05,0.78,0.0,3.06,1.0
maduka-okoye,P,Udinese,20.0,20.0,20.0,0,4.95,6.29,0.0,0.0,2.63,3.86,2.0
benjamin-siegrist,P,Genoa,13.0,13.0,13.0,0,5.36,6.3,0.0,0.0,3.59,1.58,1.0
domagoj-bradaric,D,Verona,20.0,20.0,18.0,0,5.84,5.77,0.37,1.23,0.0,2.5,1.0
nahuel-estevez,C,Parma,27.0,27.0,22.0,1,5.92,5.81,2.05,1.5,0.0,1.67,0.0
pervis-estupinan,D,Milan,26.0,26.0,23.0,0,5.96,5.84,0.7,2.16,0.0,17.48,19.0
patric,D,Lazio,17.0,17.0,15.0,0,5.88,5.87,0.02,0.11,0.0,2.3,0.0
nikola-moro,C,Bologna,22.0,22.0,17.0,0,6.18,6.04,1.63,1.91,0.0,2.98,1.0
fabio-miretti,C,Juventus,20.0,20.0,12.0,0,6.08,5.9,0.66,3.08,0.0,2.18,1.0
marin-pongracic,D,Fiorentina,16.0,16.0,12.0,0,5.83,5.83,0.02,0.07,0.0,2.8,1.0
ange-yoan-bonny,A,Inter,13.0,13.0,7.0,0,6.27,6.0,1.83,0.75,0.0,17.15,11.0
morten-thorsby,C,Genoa,25.0,25.0,18.0,0,6.0,5.91,1.77,1.03,0.0,2.45,0.0
leonardo-sernicola,D,Cremonese,24.0,24.0,18.0,0,5.81,5.76,0.58,0.47,0.0,1.07,0.0
alessandro-arena,C,Pisa,18.0,18.0,13.0,0,6.14,5.98,1.86,1.73,0.0,0.9,0.0
alessio-zerbin,C,Cremonese,24.0,24.0,17.0,0,6.09,5.98,2.94,0.45,0.0,5.08,2.0
matteo-gabbia,D,Milan,23.0,23.0,20.0,0,6.04,6.03,1.21,0.06,0.0,6.44,2.0
daniele-rugani,D,Juventus,15.0,15.0,14.0,0,5.89,5.83,0.66,0.15,0.0,1.94,1.0
